iter	Passed	Remaining
692	5335	2363
693	5342	2355
694	5348	2347
695	5356	2339
696	5363	2331
697	5369	2323
698	5378	2315
699	5385	2307
700	5391	2299
701	5398	2291
702	5405	2283
703	5412	2275
704	5419	2267
705	5426	2259
706	5433	2251
707	5441	2244
708	5447	2236
709	5454	2227
710	5461	2219
711	5468	2211
712	5476	2204
713	5482	2196
714	5491	2188
715	5497	2180
716	5505	2173
717	5512	2165
718	5519	2157
719	5526	2149
720	5532	2141
721	5540	2133
722	5547	2125
723	5554	2117
724	5561	2109
725	5568	2101
726	5575	2093
727	5582	2085
728	5589	2077
729	5596	2069
730	5604	2062
731	5611	2054
732	5618	2046
733	5625	2038
734	5631	2030
735	5639	2022
736	5645	2014
737	5653	2006
738	5660	1999
739	5668	1991
740	5674	1983
741	5682	1975
742	5689	1967
743	5696	1959
744	5703	1952
745	5710	1944
746	5718	1936
747	5724	1928
748	5732	1921
749	5739	1913
750	5747	1905
751	5753	1897
752	5761	1889
753	5767	1881
754	5774	1873
755	5780	1865
756	5787	1857
757	5794	1849
758	5802	1842
759	5809	1834
760	5816	1826
761	5823	1818
762	5830	1811
763	5837	1803
764	5845	1795
765	5851	1787
766	5858	1779
767	5865	1771
768	5872	1764
769	5879	1756
770	5886	1748
771	5893	1740
772	5899	1732
773	5907	1724
774	5915	1717
775	5925	1710
776	5934	1703
777	5941	1695
778	5949	1687
779	5956	1680
780	5963	1672
781	5970	1664
782	5978	1656
783	5985	1649
784	5993	1641
785	6000	1633
786	6007	1625
787	6014	1618
788	6021	1610
789	6028	1602
790	6035	1594
791	6043	1587
792	6049	1579
793	6057	1571
794	6064	1563
795	6070	1555
796	6077	1548
797	6084	1540
798	6092	1532
799	6098	1524
800	6105	1516
801	6112	1509
802	6120	1501
803	6127	1493
804	6134	1485
805	6141	1478
806	6148	1470
807	6156	1462
808	6163	1455
809	6170	1447
810	6177	1439
811	6184	1431
812	6191	1424
813	6198	1416
814	6205	1408
815	6211	1400
816	6219	1393
817	6225	1385
818	6233	1377
819	6240	1369
820	6246	1361
821	6255	1354
822	6262	1346
823	6270	1339
824	6277	1331
825	6284	1323
826	6290	1315
827	6297	1308
828	6305	1300
829	6312	1292
830	6320	1285
831	6327	1277
832	6335	1270
833	6341	1262
834	6350	1254
835	6356	1247
836	6363	1239
837	6370	1231
838	6377	1223
839	6385	1216
840	6392	1208
841	6399	1200
842	6406	1193
843	6413	1185
844	6420	1177
845	6426	1169
846	6434	1162
847	6441	1154
848	6448	1146
849	6455	1139
850	6461	1131
851	6468	1123
852	6475	1115
853	6482	1108
854	6488	1100
855	6497	1093
856	6504	1085
857	6512	1077
858	6518	1070
859	6525	1062
860	6533	1054
861	6540	1047
862	6548	1039
863	6554	1031
864	6562	1024
865	6569	1016
866	6576	1008
867	6583	1001
868	6593	993
869	6601	986
870	6610	979
871	6617	971
872	6624	963
873	6630	955
874	6638	948
875	6646	940
876	6652	933
877	6660	925
878	6667	917
879	6674	910
880	6681	902
881	6687	894
882	6695	887
883	6702	879
884	6710	871
885	6717	864
886	6724	856
887	6731	849
888	6738	841
889	6745	833
890	6752	826
891	6760	818
892	6767	810
893	6775	803
894	6782	795
895	6789	788
896	6795	780
897	6802	772
898	6809	765
899	6816	757
900	6823	749
901	6830	742
902	6837	734
903	6845	726
904	6852	719
905	6859	711
906	6866	704
907	6875	696
908	6883	689
909	6891	681
910	6900	674
911	6907	666
912	6914	658
913	6924	651
914	6931	643
915	6939	636
916	6946	628
917	6954	621
918	6961	613
919	6968	605
920	6976	598
921	6985	590
922	6992	583
923	7000	575
924	7007	568
925	7015	560
926	7024	553
927	7031	545
928	7039	537
929	7046	530
930	7053	522
931	7063	515
932	7070	507
933	7077	500
934	7085	492
935	7093	485
936	7101	477
937	7107	469
938	7115	462
939	7121	454
940	7128	446
941	7136	439
942	7143	431
943	7151	424
944	7157	416
945	7165	409
946	7172	401
947	7179	393
948	7186	386
949	7193	378
950	7200	371
951	7207	363
952	7215	355
953	7222	348
954	7229	340
955	7236	333
956	7243	325
957	7251	317
958	7257	310
959	7265	302
960	7271	295
961	7279	287
962	7285	279
963	7292	272
964	7299	264
965	7306	257
966	7315	249
967	7321	242
968	7329	234
969	7336	226
970	7343	219
971	7350	211
972	7357	204
973	7363	196
974	7370	188
975	7378	181
976	7385	173
977	7392	166
978	7399	158
979	7407	151
980	7413	143
981	7420	136
982	7428	128
983	7434	120
984	7441	113
985	7448	105
986	7455	98
987	7462	90
988	7469	83
989	7476	75
990	7482	67
991	7489	60
992	7496	52
993	7503	45
994	7510	37
995	7517	30
996	7526	22
997	7533	15
998	7542	7
999	7548	0
